date,region,total_orders,revenue,gross_margin,net_profit,marketing_spend,r_and_d_spend,operational_costs,customer_satisfaction,active_customers,new_customers,repeat_customers,refunds,support_tickets,avg_resolution_hours,employee_count,avg_salary,inventory_turnover,delivery_delay_days,co2_emissions_tons,energy_consumption_mwh,governance_score,environmental_score,social_score
2014-01-25,Europe,5593,577682,0.289,110237,91558,14506,400870,3.26,32185,3697,4529,347,1580,32.0,1139,4230,5.67,0.66,1724,538,66.6,58.1,58.1
2014-01-26,Asia-Pacific,7634,330806,0.279,175183,91303,47955,291773,4.63,51270,2411,11557,267,1887,15.1,435,5317,4.95,1.39,4987,2638,74.0,86.0,51.8
2014-01-27,Asia-Pacific,7565,573517,0.465,89545,60971,19229,257592,4.4,56910,790,14486,343,1026,7.9,839,6052,8.47,1.95,1610,2131,72.9,56.0,64.0
2014-01-28,Asia-Pacific,3256,716559,0.389,137703,27911,32314,254439,4.16,32710,3049,8629,240,445,18.3,707,5384,8.29,1.16,5044,464,75.5,91.8,89.3
2014-01-29,Europe,8134,660630,0.402,77749,46146,34948,231380,4.71,63733,2503,7606,157,1681,18.1,906,4435,7.04,0.51,3603,2424,91.3,69.8,53.0
2014-01-30,Latin America,1962,451668,0.342,80073,26931,18616,184168,3.39,43773,1712,5480,43,1185,24.2,1238,6173,7.29,2.51,3362,2643,90.5,60.7,89.5
2014-01-31,Latin America,4459,481964,0.459,104633,64501,45571,148050,4.41,49296,2284,8685,69,1034,4.5,1056,6068,6.95,1.6,2887,998,60.8,89.4,59.8
2014-02-01,Europe,7159,469667,0.397,61535,60967,14102,267264,3.45,30950,931,3097,299,1696,16.7,501,5619,6.72,0.99,4988,530,78.0,69.2,93.0
2014-02-02,Europe,5671,589779,0.427,163748,33248,40728,173297,3.3,63386,3292,11740,174,789,34.5,1003,3545,8.98,2.11,4041,533,62.6,77.8,59.9
2014-02-03,Europe,7227,330392,0.335,115379,77376,13714,248007,3.43,35023,2167,6345,204,1426,26.5,437,6286,7.15,1.14,3311,2190,61.3,74.7,88.5
2014-02-04,Europe,8819,629139,0.471,91792,74483,29402,161396,4.82,29976,1530,5305,136,1023,18.5,723,7063,8.62,1.21,2239,2167,67.4,78.9,91.3
2014-02-05,Europe,6255,241893,0.439,164938,52142,22293,259113,3.95,63364,1945,4848,234,347,13.8,1063,5794,5.06,0.98,5424,1657,93.8,62.1,91.5
2014-02-06,Europe,2039,341690,0.446,109635,78135,30403,164368,3.28,31427,3206,14056,284,1508,12.6,823,4335,8.99,1.21,3843,2227,92.6,70.8,55.6
2014-02-07,Asia-Pacific,5550,632004,0.29,155360,61395,30292,303443,4.19,51776,3200,4808,232,402,30.4,349,4033,6.3,0.93,3567,1631,85.0,66.8,80.2
2014-02-08,Asia-Pacific,6877,683224,0.312,176883,35707,51155,123146,3.54,43120,3462,13756,61,1547,18.3,777,7311,8.33,2.95,4576,1549,70.8,86.1,87.1
2014-02-09,Asia-Pacific,6825,509437,0.316,173088,34723,39047,300291,3.21,30560,1232,3020,53,1926,11.4,436,3843,2.64,0.92,4423,556,67.4,86.3,83.1
2014-02-10,Asia-Pacific,4043,547816,0.312,172687,71218,11932,254366,4.49,52527,1785,5181,95,1700,32.9,655,4432,6.27,2.01,4141,2636,66.0,94.8,71.3
2014-02-11,Europe,5187,709119,0.447,148664,56231,37425,291854,3.46,33799,1272,11472,164,1282,12.1,390,4240,8.95,0.74,4033,1636,60.7,94.9,92.4
2014-02-12,Latin America,2732,515542,0.257,86453,80214,34889,117869,4.8,25796,2360,5602,47,410,4.4,487,4823,2.47,1.76,3863,2833,75.4,58.9,58.1
2014-02-13,North America,4985,638099,0.268,167482,89359,39344,117380,4.21,52503,2203,5099,101,621,22.8,1106,7201,8.63,1.63,1470,2825,81.2,73.6,89.5
2014-02-14,Europe,6981,399484,0.313,139093,39081,23488,138766,3.35,59983,2722,3439,158,1963,12.6,800,6225,3.02,1.75,5907,1427,80.8,84.9,60.8
2014-02-15,North America,4893,721728,0.296,92885,49239,30242,280887,3.57,36324,2085,11402,22,1062,2.2,568,6139,8.97,1.2,5463,1497,84.6,81.8,70.3
2014-02-16,Latin America,7786,237809,0.303,66159,31276,40986,132470,4.24,27613,2412,8604,358,1309,21.1,511,6528,4.02,2.64,4512,3037,77.9,74.4,70.8
2014-02-17,Asia-Pacific,2034,409503,0.434,174566,83486,33128,249597,3.77,37783,1281,3911,307,1476,36.0,750,4515,7.56,1.03,3429,1866,78.7,59.0,63.0
2014-02-18,Latin America,3552,481867,0.38,167895,58298,22015,345422,4.1,43732,3746,9470,234,1240,26.5,662,7697,2.19,2.64,4421,1957,93.6,73.8,62.8
2014-02-19,Europe,7376,339003,0.251,103735,45079,42679,402792,4.56,43541,3573,5776,361,1679,2.7,541,4034,4.01,1.34,3765,1965,79.8,93.3,66.8
2014-02-20,Asia-Pacific,7019,269417,0.349,164534,71357,37096,134189,4.55,63770,680,7586,313,1236,16.4,1186,5484,6.22,2.03,3088,1640,90.6,72.5,50.6
2014-02-21,Europe,2841,408417,0.344,99472,45869,23315,284711,4.39,38299,1144,9421,55,642,11.4,1015,4637,3.59,0.23,2901,2486,64.4,56.1,60.9
2014-02-22,Asia-Pacific,2562,562337,0.276,145212,76935,29388,408233,4.71,45670,1251,7217,229,931,27.5,1007,5847,7.33,1.43,3318,1980,88.9,71.0,92.8
2014-02-23,North America,3951,685543,0.406,104589,51827,39213,152261,3.54,33106,652,5700,123,1740,19.4,1080,7509,6.73,2.02,5595,376,84.1,73.7,82.4
2014-02-24,North America,4681,551961,0.411,173388,91272,20801,241707,3.5,49120,3114,4433,87,583,8.6,1073,7326,8.94,1.03,5845,545,60.2,84.6,70.0
2014-02-25,North America,3988,470939,0.416,114778,21470,51492,277658,4.56,44932,678,9964,322,1075,19.3,1245,6926,6.09,1.1,2597,2665,67.4,64.1,50.0
2014-02-26,Latin America,2162,300433,0.418,151205,28382,26043,333886,3.75,43576,1705,9171,317,1036,37.4,644,5448,7.38,1.31,2276,1790,67.5,78.3,81.9
2014-02-27,Europe,8520,323376,0.25,163825,62967,17782,253268,4.07,44437,1521,11451,287,1065,17.6,383,6935,2.52,0.95,1464,1932,73.9,61.9,72.2
2014-02-28,Latin America,4591,291822,0.469,115776,41948,18239,359988,4.46,26888,1263,8173,26,1480,35.1,1000,5826,2.3,1.89,1524,697,73.7,79.6,79.5
2014-03-01,North America,8370,308361,0.437,57663,47976,24009,188247,3.87,55208,2211,3598,106,1179,20.1,356,7664,6.07,0.34,1116,1364,72.2,75.9,67.7
2014-03-02,Europe,7639,554724,0.458,94018,28470,13116,255933,3.42,57128,2389,5045,111,995,30.8,626,3981,8.9,2.53,2282,511,75.2,89.4,50.0
2014-03-03,North America,2727,584500,0.254,148364,67057,48657,373554,4.36,58866,1472,5333,291,1722,31.9,755,5097,3.88,2.89,1103,2085,88.9,73.5,76.3
2014-03-04,Latin America,6985,511481,0.465,166262,87211,22091,308645,4.59,45097,2253,8421,176,1850,30.9,847,7575,2.01,0.66,2357,1532,61.8,66.4,85.5
2014-03-05,Latin America,6091,332023,0.436,136729,83145,41904,301111,3.22,64598,2413,13510,80,1104,26.3,896,5632,4.39,0.83,4537,1682,89.7,76.2,59.7
2014-03-06,Latin America,7176,414771,0.443,72559,45528,10927,177100,4.16,50282,2754,6009,226,1214,38.2,401,5896,7.17,2.86,1113,2846,92.1,77.4,79.8
2014-03-07,North America,2123,235563,0.271,98555,58807,41951,219726,4.0,26164,1521,2775,249,1686,37.3,1214,6124,7.62,0.66,3275,2669,65.8,58.7,65.8
2014-03-08,Europe,4116,649441,0.42,101377,85363,47710,156194,3.64,47947,2217,3323,188,742,13.5,701,7696,7.47,0.5,5130,2934,72.8,77.8,87.5
2014-03-09,Europe,5445,278718,0.471,153895,92721,24415,342520,3.47,63698,2245,9543,167,1758,28.4,457,4787,2.57,2.42,5880,1900,82.8,82.8,69.7
2014-03-10,North America,4261,729689,0.406,110142,33017,40036,312988,3.52,38783,2361,6676,50,1955,27.3,709,3207,7.4,2.1,2157,1941,94.2,90.4,52.8
2014-03-11,Europe,4291,600499,0.381,79419,71129,47355,147041,4.43,24236,2828,4174,59,1664,9.6,493,5784,2.57,2.1,2900,1083,90.3,63.5,73.8
2014-03-12,North America,6773,347099,0.467,193215,79989,20555,159925,4.11,26847,2439,7267,293,547,12.1,843,7266,8.91,0.83,4846,1014,85.9,73.3,77.3
2014-03-13,Europe,5539,454623,0.352,77125,24066,33277,330383,4.87,30482,2176,8233,83,1230,13.8,653,3715,4.59,1.25,5512,2583,92.9,57.3,64.4
2014-03-14,Asia-Pacific,7718,627622,0.388,122853,90557,31851,347099,3.61,46024,2810,14346,196,1797,14.6,891,6050,6.85,0.65,1331,2158,94.4,61.6,53.5
2014-03-15,Asia-Pacific,2211,639222,0.36,189905,32794,39957,131676,4.83,31272,2868,4673,253,417,34.5,646,6736,5.39,0.65,5883,1664,91.4,92.0,83.9
2014-03-16,Latin America,1996,625839,0.465,114847,20932,44472,346288,4.08,35224,2375,12298,393,391,30.8,677,3589,3.68,1.59,5817,2671,66.5,92.5,74.3
2014-03-17,Asia-Pacific,5326,295228,0.267,72255,47573,11093,314536,3.45,43823,3369,8818,75,1871,32.7,957,5952,6.28,2.08,4359,852,85.0,56.7,59.4
2014-03-18,Asia-Pacific,3850,708761,0.365,82700,60149,50657,398135,3.45,55552,1749,3595,244,1760,36.7,1117,4402,2.11,1.1,5933,1820,74.0,76.4,58.4
2014-03-19,Asia-Pacific,8133,389788,0.408,140899,90040,15690,367697,4.23,44266,1760,3484,123,1147,21.5,1126,4757,5.54,1.53,4367,1435,88.6,60.5,74.6
2014-03-20,North America,5866,645836,0.432,99865,32312,44321,121269,4.61,20781,3731,14190,215,1847,33.7,404,5825,2.27,1.18,1860,2560,61.9,83.2,63.9
2014-03-21,Asia-Pacific,8236,662791,0.384,180648,43693,19862,248768,4.47,50389,2430,12176,278,1863,28.4,669,3215,5.97,2.76,1942,2012,89.0,79.9,81.1
2014-03-22,Asia-Pacific,7808,440890,0.459,168204,42547,47007,338230,4.31,56201,2773,6812,266,1283,19.7,783,6745,5.2,2.17,2882,1928,70.3,75.7,65.7
2014-03-23,Latin America,7371,591653,0.467,128802,62270,44452,144874,3.49,40420,3209,10843,98,1398,9.4,851,3587,8.26,1.95,2559,1632,87.0,75.8,71.2
2014-03-24,Asia-Pacific,7875,414353,0.265,60936,22202,18978,250523,3.38,21199,3417,14849,19,378,18.4,747,5585,8.76,2.24,3785,865,65.9,79.6,52.7
2014-03-25,Asia-Pacific,4534,734389,0.343,131310,47291,47809,399315,3.2,28256,1172,5235,392,994,9.8,801,5015,6.56,0.95,3321,1467,61.7,72.6,70.7
2014-03-26,Europe,2510,608356,0.255,131913,74154,29018,228927,3.37,59941,2405,7546,200,1402,12.9,724,7642,3.3,2.8,2417,2493,82.8,84.3,50.5
2014-03-27,Latin America,5879,709756,0.326,95062,23052,46495,393147,4.5,44713,3392,5099,243,1012,12.8,903,5124,5.66,0.76,2135,2827,75.5,83.5,66.2
2014-03-28,Latin America,3516,395379,0.373,103233,21046,28011,372800,4.72,35683,2824,4690,63,504,30.9,649,7818,2.01,0.59,3370,549,89.6,68.5,64.0
2014-03-29,Latin America,6663,615730,0.459,163838,45470,30986,256163,3.61,46761,3266,11038,160,1117,21.3,552,7044,7.38,2.74,4065,1252,92.0,83.8,84.0
2014-03-30,Latin America,8068,324894,0.445,156824,73103,47435,280872,4.55,64148,1039,7048,336,840,32.1,1210,6029,2.29,0.93,4415,1589,74.2,68.7,84.6
2014-03-31,Latin America,3148,248822,0.279,100177,35238,14103,268440,3.54,59845,602,3304,315,1125,35.3,970,6094,7.65,2.58,1084,2869,81.6,78.5,68.8
2014-04-01,Latin America,6357,634227,0.271,187288,33391,40047,147793,3.62,26846,3656,10311,68,1605,25.2,1099,5112,3.85,1.03,4153,2439,69.8,63.5,93.9
2014-04-02,North America,4803,649458,0.386,175544,36851,12039,123496,3.58,20757,2604,14885,271,322,17.5,756,7615,3.75,1.02,5203,1881,69.1,67.6,61.3
2014-04-03,Asia-Pacific,4845,315269,0.372,139748,32567,11236,266826,3.29,40518,465,14600,374,1852,34.6,1226,5790,2.63,2.88,5808,671,90.1,63.7,57.5
2014-04-04,Latin America,8191,395936,0.311,93535,90223,37996,236040,3.53,42845,2182,14061,41,432,23.6,470,6572,6.8,2.9,2935,2678,65.1,94.6,86.6
2014-04-05,Asia-Pacific,3188,533780,0.457,100595,59823,38296,406837,3.84,28733,1931,3740,318,358,34.6,1017,6809,4.56,2.89,5291,2337,75.6,79.5,73.0
2014-04-06,Asia-Pacific,8924,559773,0.463,98644,69598,22063,378708,3.89,22843,1963,6614,373,1979,12.1,810,6819,2.63,0.58,4273,1211,75.9,82.0,58.8
2014-04-07,North America,2089,387378,0.343,163474,90284,26904,409582,3.73,40604,1084,12694,78,1938,23.5,662,4673,4.25,1.8,4648,342,80.5,80.5,65.0
2014-04-08,Latin America,2983,554571,0.455,82242,41285,32517,334512,4.08,31939,3244,4615,92,1929,10.0,859,6202,8.45,0.3,1609,974,82.1,56.1,54.3
2014-04-09,Europe,4111,457538,0.338,136923,61314,33266,120037,3.84,21962,3124,13145,267,1072,28.5,520,3539,2.24,2.12,5971,972,75.1,83.7,81.3
2014-04-10,North America,4550,722483,0.419,171832,51301,21814,311917,4.85,64059,1914,5203,308,1825,24.3,1148,4364,6.68,2.08,965,660,75.5,86.2,72.4
2014-04-11,Europe,2617,638318,0.359,61666,25468,48946,382201,4.57,29182,1062,11306,49,741,23.1,564,4035,5.51,2.98,5681,2709,81.8,68.6,75.4
2014-04-12,Asia-Pacific,4429,406374,0.278,84719,47540,37190,188188,4.78,24306,1051,14810,13,581,26.3,1040,5911,6.18,2.66,5318,2434,84.6,78.5,53.3
2014-04-13,Asia-Pacific,4635,366972,0.463,168122,84658,19741,271296,4.15,56014,3935,10620,84,1494,16.3,1045,3828,4.74,0.81,909,1717,87.8,56.1,81.5
2014-04-14,North America,4267,323557,0.354,70582,61690,37884,138325,4.35,25878,2864,11194,183,1449,9.3,952,6647,5.37,1.44,1911,1896,83.9,63.5,63.2
2014-04-15,North America,2046,575613,0.419,190906,41444,32984,202077,3.48,57917,1896,10369,114,1254,32.6,388,5331,7.32,0.92,1036,579,60.3,62.7,57.2
2014-04-16,Europe,4472,349433,0.334,150962,40963,37388,217385,4.48,53422,2789,7372,157,1409,16.6,398,5457,5.38,0.33,4474,1361,68.1,65.2,69.1
2014-04-17,Latin America,8180,595248,0.254,153417,61928,22002,262010,3.6,41919,773,3822,131,920,39.6,864,5908,4.63,1.27,4821,2974,64.7,70.3,88.5
2014-04-18,Europe,8576,331407,0.273,133149,39313,18731,238426,3.45,44882,2506,3275,23,1837,20.3,691,3858,3.93,0.5,2529,2356,88.4,63.7,66.7
2014-04-19,North America,8520,392207,0.364,61224,71258,28853,181351,3.27,39755,3849,6487,364,855,20.6,1025,5739,5.15,2.34,4702,2196,76.8,64.1,54.9
2014-04-20,Europe,8932,547229,0.409,169569,66796,47556,171474,4.0,27360,1457,8709,374,1015,27.8,1053,3899,6.03,1.29,2048,2356,73.4,93.3,92.4
2014-04-21,North America,4906,450355,0.327,126901,49207,14142,133107,3.69,39357,2646,7613,186,405,27.3,1006,5313,4.62,0.29,4349,1435,86.2,65.1,78.8
2014-04-22,Europe,4738,326093,0.41,141999,27833,22098,129133,4.88,23175,612,4033,396,518,8.9,1025,3646,8.31,0.96,3738,2192,62.7,77.7,63.6
2014-04-23,North America,4470,261223,0.411,118512,32474,49306,321828,3.62,23781,1630,14703,30,1221,12.3,784,6670,8.97,1.13,1160,1559,84.6,80.7,76.2
2014-04-24,North America,7371,481291,0.412,109766,58394,44981,147834,4.67,49713,2069,14772,326,1944,10.8,723,4218,3.43,1.47,5622,593,78.3,67.4,54.1
2014-04-25,North America,5278,623435,0.363,153265,25952,20461,399106,3.74,36728,2937,13819,267,855,4.0,581,3087,6.51,2.11,3660,2166,74.8,57.7,75.4
2014-04-26,Latin America,3668,395035,0.46,145724,54544,18609,368264,4.47,49122,2180,10780,158,1028,2.9,909,6438,3.44,2.41,4166,2720,83.1,73.9,86.9
2014-04-27,Europe,5639,596767,0.363,106261,65216,48032,324633,4.32,27613,3616,10342,275,604,26.5,681,4949,5.79,2.96,5411,1699,60.7,94.6,56.2
2014-04-28,Europe,4670,599078,0.354,62024,69261,43050,298004,4.16,49936,3506,11695,356,390,20.9,1207,3360,4.75,2.59,2123,966,63.6,66.4,87.6
2014-04-29,Europe,8786,427288,0.296,72207,24320,21347,337792,3.91,56030,2783,14298,127,795,36.0,1021,3115,3.72,1.48,1062,2137,73.9,55.2,74.9
2014-04-30,North America,5601,634373,0.321,185006,83910,14156,151364,4.34,63524,3474,6227,341,1404,13.4,1247,6503,4.39,0.5,3973,2120,63.3,86.9,58.7
2014-05-01,Europe,6562,345818,0.26,123339,85566,42148,392530,3.89,51855,627,4881,89,996,31.9,408,5538,2.86,2.06,2988,1243,76.9,65.1,59.5
2014-05-02,Europe,3620,431234,0.396,90923,40431,43461,179586,4.13,64592,1886,10078,273,433,5.9,1226,7880,2.56,1.38,4339,1093,80.8,89.0,89.7
2014-05-03,North America,8012,488213,0.307,188768,46160,12279,402864,4.2,25129,1071,5342,194,706,33.0,1204,3479,5.15,1.34,1443,1205,82.6,65.2,71.4
2014-05-04,Asia-Pacific,7139,703189,0.32,58173,60953,24192,357563,3.65,54223,1837,7972,110,637,37.0,848,6495,7.71,1.15,5011,2487,68.3,89.9,62.7
2014-05-05,North America,7496,506277,0.427,177432,58542,39293,357341,3.78,56963,1179,10762,98,1321,25.8,1106,3995,6.78,0.67,5359,2848,86.7,91.6,61.4
2014-05-06,Europe,5294,340500,0.325,105706,79173,12722,370400,3.23,55339,1540,10228,56,1879,30.0,594,6807,6.17,0.45,3573,1897,63.2,78.2,68.0
2014-05-07,North America,5664,669383,0.306,76730,60868,35975,123912,4.65,58179,3922,10334,91,1820,39.5,1079,6770,4.94,2.49,4144,1303,92.5,88.4,85.0
2014-05-08,Asia-Pacific,2574,435818,0.289,126965,20374,40234,384699,4.49,29802,2920,2949,133,1389,16.4,705,4145,5.28,0.72,1702,2051,64.8,89.7,51.2
2014-05-09,North America,6524,572237,0.428,135132,90205,18244,146388,3.51,50500,3421,11091,273,600,3.1,740,7008,2.15,2.16,1969,2671,75.2,69.0,54.8
2014-05-10,Europe,2464,710290,0.28,175252,59405,15017,257680,3.82,40783,1429,2994,156,1854,27.9,1040,7803,8.58,2.23,2464,863,61.3,81.3,70.0
2014-05-11,Asia-Pacific,2625,689120,0.354,69139,49729,40663,189067,3.92,48106,3610,10991,250,1566,2.5,686,5748,4.18,1.06,5629,1088,76.9,79.2,90.8
2014-05-12,Latin America,8744,292913,0.367,106207,69148,19754,352854,3.77,51564,3711,10075,295,1571,23.6,1202,5308,8.4,1.76,5711,2705,92.4,72.1,89.8
2014-05-13,Europe,5071,375829,0.408,132085,49469,42606,248694,4.56,44023,2338,5795,100,815,24.7,416,3006,7.01,2.19,3840,1471,67.5,85.3,85.2
2014-05-14,Asia-Pacific,7708,711476,0.396,127067,48089,11713,286039,4.43,61699,1128,14156,237,396,24.2,509,7966,5.93,0.58,1401,1876,91.7,73.9,94.0
2014-05-15,Asia-Pacific,6741,570236,0.436,105292,21394,42288,211058,4.5,57003,3764,13036,163,1677,8.3,960,4925,5.12,0.67,4802,2431,77.6,65.7,54.8
2014-05-16,Latin America,6837,287185,0.26,135873,45720,16924,350221,4.74,55106,1189,4936,381,1419,4.9,1175,5075,4.26,2.21,2266,1984,63.8,66.1,89.8
2014-05-17,North America,6369,442695,0.318,80674,77788,28506,112714,4.21,33199,4162,11219,370,1252,36.5,767,7920,6.47,0.98,4417,2532,87.0,55.0,50.9
2014-05-18,North America,2706,632164,0.314,120634,24424,38026,251541,4.24,58506,3478,12343,260,535,22.6,617,4854,8.79,0.5,4814,2661,75.3,58.0,68.7
2014-05-19,Europe,6720,695455,0.284,165288,82807,29500,126339,4.43,47615,3129,15102,343,436,14.3,939,7517,7.63,1.66,5712,711,76.8,60.6,60.1
2014-05-20,Latin America,8366,705974,0.317,103812,43928,22620,197322,4.36,31198,4019,7939,210,1680,31.3,537,3722,4.74,2.46,5184,710,81.5,83.4,66.3
2014-05-21,North America,8547,316975,0.321,141378,46092,13843,350900,4.68,21703,2985,13687,224,1371,37.0,445,7587,5.38,1.06,4284,2827,89.0,59.7,93.8
2014-05-22,Latin America,2487,443471,0.37,118473,81704,30287,142650,4.51,55841,3115,3275,182,1487,17.4,652,4803,5.28,0.93,4374,954,74.3,63.8,64.8
2014-05-23,North America,6719,477493,0.403,183203,48741,18096,274984,3.4,48580,3294,3066,73,799,5.7,1214,6429,3.82,0.78,5339,2178,86.3,74.0,78.3
2014-05-24,Asia-Pacific,3664,331710,0.338,127713,31484,13410,379330,4.78,49631,1885,14987,39,494,28.3,514,5770,7.93,1.53,1497,1286,65.6,68.4,81.0
2014-05-25,North America,8118,279161,0.415,84133,37074,31950,241459,4.36,38625,1264,13266,187,573,36.5,914,6552,6.85,1.8,1572,549,61.7,86.3,74.7
2014-05-26,Latin America,5059,589100,0.327,129312,67500,20260,184311,3.42,57961,2895,10064,179,801,39.3,507,7396,6.18,0.58,4374,1170,61.7,59.1,54.1
2014-05-27,Asia-Pacific,2107,377143,0.317,107526,40627,33517,353093,4.51,31194,2869,3537,165,1796,32.9,397,6460,5.03,2.44,3294,2030,61.5,94.3,88.5
2014-05-28,Asia-Pacific,4973,461074,0.374,64958,68695,20790,232150,3.81,37479,2345,8832,67,1303,12.2,813,7160,3.67,1.68,1925,1339,78.4,88.0,85.4
2014-05-29,Asia-Pacific,6764,500066,0.255,191971,87369,18607,190010,4.57,25807,3466,9143,40,620,15.6,1010,7258,6.48,1.78,2477,2104,73.7,74.9,83.7
2014-05-30,Latin America,3732,529093,0.268,68104,35250,24897,384044,4.82,21214,632,14190,355,1219,7.2,572,6950,3.66,0.53,3896,1278,87.5,60.1,91.0
2014-05-31,Europe,7349,278030,0.346,120389,43544,15475,231490,3.63,60322,1746,5944,109,480,29.1,541,5718,2.06,1.95,1581,1425,60.1,58.9,65.6
2014-06-01,Europe,5608,492210,0.467,173470,22314,13015,131903,4.66,25944,834,3857,137,1949,8.4,396,4269,2.47,2.1,1891,1183,83.5,61.4,75.9
2014-06-02,Europe,4251,562256,0.416,129645,60685,29582,359222,4.52,47270,3683,6261,324,725,18.4,952,3423,6.86,1.33,5096,2269,73.1,62.2,85.2
2014-06-03,Latin America,4293,651516,0.27,183648,62662,11281,374813,4.34,38685,1450,14120,376,1120,22.2,453,5658,4.64,1.88,1297,1922,76.5,85.2,70.0
2014-06-04,Asia-Pacific,5630,505623,0.445,60040,72530,27298,224992,3.85,21269,580,11059,237,1299,16.5,630,5748,3.44,0.85,2975,2227,64.7,93.9,93.3
2014-06-05,Europe,8902,515563,0.418,115541,23813,19057,384882,3.39,41486,3048,11569,125,873,7.7,370,7817,3.67,1.99,1019,2372,86.8,85.2,88.2
2014-06-06,Latin America,2147,435033,0.391,142941,67850,21271,340115,4.02,39614,563,7497,21,1449,13.0,834,5779,5.46,1.69,3956,702,90.4,85.7,73.9
2014-06-07,Europe,8263,701868,0.439,147201,75658,11609,230786,3.38,41116,3997,8579,310,1998,26.0,1143,7509,8.34,1.83,4881,2687,61.2,92.9,56.6
2014-06-08,North America,5985,392468,0.343,114141,74183,15817,124773,4.05,24211,3331,12521,331,1294,29.6,1221,3551,3.88,0.9,1619,1723,71.8,58.9,72.7
2014-06-09,Europe,5457,262677,0.301,188586,64375,44449,295771,4.59,49819,1849,11860,369,1508,25.4,990,3912,6.59,2.41,1019,811,74.6,59.0,59.3
2014-06-10,Europe,6512,673651,0.368,120635,29701,19146,126644,4.9,48395,3908,5203,205,439,38.7,765,7168,7.78,2.51,3064,669,90.0,90.8,68.3
2014-06-11,Asia-Pacific,7788,602482,0.376,192121,90939,49690,373479,3.54,48683,621,12502,363,348,25.3,934,4382,5.42,0.49,4113,500,87.8,77.1,61.9
2014-06-12,Latin America,4416,585265,0.374,144651,62672,22651,316965,3.55,30284,2268,3488,192,1794,10.6,523,3405,2.19,2.63,1330,2136,79.2,64.9,86.6
2014-06-13,Asia-Pacific,7635,282689,0.38,71555,24366,42562,257797,4.58,37670,1349,15232,334,796,20.7,1102,3568,7.57,2.37,5958,668,66.3,63.0,61.7
2014-06-14,Asia-Pacific,2144,250686,0.468,95566,30392,31465,306551,4.0,24070,1622,8514,14,1473,33.8,610,3654,8.16,1.75,3010,2420,79.4,79.3,76.6
2014-06-15,Asia-Pacific,5369,271635,0.458,152364,66394,49926,228927,4.76,22905,1496,14881,328,1925,14.4,517,4372,2.22,0.35,6052,1199,75.4,80.5,52.3
2014-06-16,Asia-Pacific,5014,345658,0.451,167461,37674,13113,266121,4.51,23562,1142,6713,269,623,30.0,494,4399,2.81,1.67,4541,1150,91.6,85.3,83.9
2014-06-17,Asia-Pacific,5562,720939,0.434,79407,38206,20557,235143,4.45,56040,1921,5441,380,1650,31.8,914,4589,2.61,1.51,1530,2804,69.4,80.8,70.2
2014-06-18,Europe,2029,415072,0.467,182692,80115,20223,389623,3.37,61195,2157,3962,306,1218,37.5,570,4747,3.55,0.83,3788,1453,87.8,83.8,68.7
2014-06-19,Asia-Pacific,4254,575892,0.273,123191,64235,26057,334252,3.26,24991,3433,12403,149,650,17.2,969,7056,5.47,2.53,1688,812,79.8,83.6,69.6
2014-06-20,Asia-Pacific,8486,567114,0.311,115504,54542,16254,334766,3.74,24742,3942,4311,363,577,11.9,688,4767,2.23,1.1,5943,1467,61.2,57.1,82.1
2014-06-21,Latin America,8068,674238,0.364,98444,30692,11375,115141,3.57,25541,2694,3067,64,1470,21.3,1221,7503,3.18,1.82,4568,810,68.8,83.5,69.4
2014-06-22,North America,8332,725994,0.445,182186,90935,29267,161236,4.41,59549,3833,12368,310,864,39.8,1146,7687,4.85,1.46,5182,1458,64.6,61.4,83.2
2014-06-23,Europe,7112,371999,0.366,63335,80900,11183,397697,3.97,44302,2371,12033,165,1609,36.3,1232,5930,6.43,2.66,5557,2036,76.4,75.0,62.7
2014-06-24,Europe,2464,397579,0.422,138473,69104,42656,355837,4.09,33809,1484,14369,324,453,12.8,937,5767,8.37,1.6,3298,763,87.7,65.1,93.2
2014-06-25,Europe,3965,512234,0.282,145521,47370,51525,407961,4.58,44299,622,5065,197,724,9.5,997,3941,7.81,0.98,863,2162,80.5,82.2,73.0
2014-06-26,Asia-Pacific,2962,344577,0.308,90247,79982,39946,222377,4.01,32572,2432,14190,265,1473,20.1,456,5742,2.38,2.22,1558,1435,71.4,67.1,76.3
2014-06-27,Asia-Pacific,7491,363352,0.418,130269,21011,42295,301416,4.13,51137,1617,5964,190,1896,8.3,904,6951,8.77,2.35,4555,1030,85.4,91.5,81.3
2014-06-28,Asia-Pacific,7637,392834,0.288,64845,63854,47017,372902,4.63,55394,3381,4994,177,1396,30.8,1084,4920,3.87,2.82,4014,2041,81.7,56.9,76.3
2014-06-29,Latin America,6256,444865,0.331,146352,68676,24458,279420,3.93,46932,3339,12621,130,601,3.4,493,5481,4.54,2.29,2031,844,62.4,73.9,75.4
2014-06-30,North America,8922,706542,0.311,103482,61689,23267,315842,3.34,29232,1358,7011,390,1381,10.5,512,6249,2.52,0.34,2570,2747,63.8,72.1,50.1
2014-07-01,Asia-Pacific,3941,491029,0.33,122565,53777,48952,329737,4.09,45641,3289,9288,317,840,2.7,952,6824,8.55,2.52,3616,2581,63.5,62.7,70.7
2014-07-02,North America,4999,581520,0.413,72377,68718,45880,332435,4.18,22586,923,10751,20,1888,10.6,1244,4139,5.82,1.55,4217,1849,71.2,57.8,89.0
